trackid,trackname,artist,artistid,genres,main_genre,danceability,energy,loudness,speechness,acousticness,instrumentalness,liveness,valence,tempo
64UioB4Nmwgn2f4cbIpAkl,it's still rock and roll to me,billy joel,6zFYqv1mOsgBRQbae3JJ9e, classicrock folkrock mellowgold pianorock rock singer-songwriter softrock ,rock,0.752,0.684,-7.599,0.15,0.0994,0.0,0.0897,0.539,141.075
0dSIrRkA4PadGll16TgbnV,pick it up (feat. a$ap rocky),famous dex,0WOxhx4hikIsyF3CRPLC8W, chicagorap drill hiphop poprap rap southernhiphop trap undergroundhiphop vaportrap viralrap ,rock,0.921,0.467,-8.443,0.119,0.0149,0.000238,0.334,0.287,135.995
2jz6rWGqVCYsymwxGoaON4,detroit rock city,kiss,07XSN3sPlIlB2L2XNcTwJw, albumrock classicrock glamrock hardrock metal rock ,rock,0.546,0.9,-6.728,0.0691,0.0421,4.57e-05,0.292,0.447,90.591
2N3U8uTYhjX2KwGT0pf5x0,"everyday (feat. rod stewart, miguel & mark ronson)",a$ap rocky,13ubrt8QOOCPljQ2FL1Kca, eastcoasthiphop hiphop rap trap ,rock,0.394,0.661,-8.684,0.192,0.00996,0.0,0.343,0.335,149.818
3RIgHHpnFKj5Rni1shokDj,norman fucking rockwell,lana del rey,00FQb4jTyendYWaN8pK0wa, artpop dancepop pop ,rock,0.218,0.215,-12.49,0.0368,0.967,0.0847,0.0948,0.138,76.74
7vQbuQcyTflfCIOu3Uzzya,jingle bell rock,bobby helms,38EmEgXkgK51MT2tPY0EoC, adultstandards ,rock,0.754,0.424,-8.463,0.0363,0.643,0.0,0.0652,0.806,119.705
2ydUT1pFhuLDnouelIv4WH,the rock show,blink-182,6FBDaR13swtiWwGhX1WQsP, poppunk punk socalpoppunk ,rock,0.41,0.959,-4.563,0.0869,0.000324,0.0,0.0766,0.83,193.155
56fkAaSu91c1E2k43wGPFC,psycho!,masn,4HAfqyKr4Sqtab6ttHWXgE, emorap sadrap ,rock,0.876,0.312,-10.17,0.0521,0.443,0.0,0.247,0.377,114.973
0fj9oGrCKxVA4sXDxvbfiM,backseat (feat. pnb rock),pop smoke,0eDvMgVFoNV3TpwtrVCoTj, brooklyndrill ,rock,0.704,0.542,-6.277,0.0326,0.577,0.0,0.118,0.371,89.982
6TrNRd98WksT9Kkmx9uj6R,let it rock,kevin rudolf,0Chxmm4XMM87mJOHvyiUzL, dancepop poprap ,rock,0.607,0.783,-4.41,0.0397,0.000683,0.0,0.0678,0.434,113.172
643PW82aBMUa1FiWi5VQY7,babushka boi,a$ap rocky,13ubrt8QOOCPljQ2FL1Kca, eastcoasthiphop hiphop rap trap ,rock,0.897,0.743,-5.446,0.222,0.304,4.44e-05,0.137,0.905,134.979
7eaKWfov7b2Qa2n6HTesL3,shabba (feat. a$ap rocky),a$ap ferg,5dHt1vcEm9qb8fCyLcB3HL, hiphop poprap rap southernhiphop trap undergroundhiphop ,rock,0.869,0.712,-6.136,0.103,0.0715,0.0,0.272,0.435,120.0
4i9ATUqGrKhfzQ0k8UnSBf,rich nigga problems,a$ap rocky,13ubrt8QOOCPljQ2FL1Kca, eastcoasthiphop hiphop rap trap ,rock,0.619,0.561,-7.824,0.417,0.103,0.0,0.45,0.587,74.861
1vBpwxsLVwaR4evBIaFmqD,drinkin' problem,midland,1DTZRmlVZBxx2wRQBtx6yi, contemporarycountry neo-traditionalcountry texascountry ,rock,0.622,0.763,-6.4,0.0263,0.055,8.91e-06,0.313,0.621,102.0
4zu9wo2FXoBSsKjO6tRB3R,robot rock,daft punk,4tZwfgrHOc3mvqYlEYSvVi, electro filterhouse ,rock,0.59,0.787,-5.766,0.0512,6.94e-06,0.845,0.0293,0.598,111.926
2KH16WveTQWT6KOG9Rg6e2,eye of the tiger,survivor,26bcq2nyj5GB7uRr558iQg, albumrock hardrock rock softrock ,rock,0.817,0.599,-9.249,0.0328,0.132,0.000311,0.0873,0.548,108.873
3lb5fWSG2p7x8ik8HN9oFR,dangerous (feat. jeremih and pnb rock),meek mill,20sxb77xiYeusSH8cVdatc, hiphop phillyrap poprap rap southernhiphop trap ,rock,0.734,0.493,-7.528,0.308,0.0467,0.0,0.0477,0.562,86.043
7knEYd7b0UcbjgChHX7QBq,like me (with pnb rock),pop smoke,0eDvMgVFoNV3TpwtrVCoTj, brooklyndrill ,rock,0.61,0.61,-5.981,0.406,0.399,0.0,0.203,0.555,120.47
2MF4HtZHBoUliOi9nOAbS0,purity (feat. frank ocean),a$ap rocky,13ubrt8QOOCPljQ2FL1Kca, eastcoasthiphop hiphop rap trap ,rock,0.593,0.37,-11.674,0.397,0.832,0.0,0.108,0.312,135.391
0Oqc0kKFsQ6MhFOLBNZIGX,doin' time,lana del rey,00FQb4jTyendYWaN8pK0wa, artpop dancepop pop ,rock,0.649,0.538,-11.196,0.0519,0.372,0.00632,0.0951,0.496,144.979
