artist,genres
judah & the lion, banjo folk-pop indiecoustica modernalternativerock modernrock poprock stompandholler 
joshua redman, bebop contemporaryjazz contemporarypost-bop cooljazz hardbop indiejazz jazz jazzfunk jazzfusion jazzsaxophone souljazz straight-aheadjazz 
judah & the lion, banjo folk-pop indiecoustica modernalternativerock modernrock poprock stompandholler 
billie eilish, electropop pop 
peter gundry, runefolk 
taylor swift, dancepop pop popdance 
the sundays, alternativepop alternativerock dreampop lilith newwavepop poprock 
taylor swift, dancepop pop popdance 
pavement, alternativepop alternativerock anti-folk artrock dancerock dreampop freakfolk indiepop indierock lo-fi modernrock newwave rock 
taylor swift, dancepop pop popdance 
enzo notario, 
naughty by nature, eastcoasthiphop gangsterrap hardcorehiphop hiphop hippop newjerseyrap poprap rap 
juice wrld, chicagorap melodicrap 
dead prez, alternativehiphop conscioushiphop eastcoasthiphop hardcorehiphop hiphop politicalhiphop 
juice wrld, chicagorap melodicrap 
mos def, alternativehiphop conscioushiphop eastcoasthiphop gangsterrap hardcorehiphop hiphop rap southernhiphop 
pop smoke, brooklyndrill 
lupe fiasco, alternativehiphop chicagorap conscioushiphop gangsterrap hiphop politicalhiphop poprap rap southernhiphop 
pop smoke, brooklyndrill 
bts, k-pop k-popboygroup 
xxxtentacion, emorap miamihiphop 
chill beats music, 
xxxtentacion, emorap miamihiphop 
nas, conscioushiphop eastcoasthiphop gangsterrap hardcorehiphop hiphop queenshiphop rap 
trippie redd, melodicrap rap trap 
blac youngsta, hiphop memphishiphop rap southernhiphop trap 
kid cudi, hiphop ohiohiphop rap 
santa fe klan, mexicanhiphop 
iann dior, melodicrap poprap 
en vogue, dancepop girlgroup hiphop hippop neosoul newjackswing quietstorm r&b urbancontemporary 
snoop dogg, gfunk gangsterrap hiphop poprap rap westcoastrap 
portugal. the man, indierock modernalternativerock modernrock rock 
snoop dogg, gfunk gangsterrap hiphop poprap rap westcoastrap 
erco, 
6lack, alternativer&b atlhiphop hiphop melodicrap poprap rap trap 
luvid, 
nice & smooth, bronxhiphop electro hardcorehiphop hiphop hiphouse rap 
ginuwine, dancepop hiphop hippop neosoul newjackswing r&b southernhiphop urbancontemporary 
chamillionaire, dirtysouthrap gangsterrap poprap rap southernhiphop trap 
rick ross, dirtysouthrap gangsterrap hiphop poprap rap southernhiphop trap 
dj r.g, 
pharrell williams, poprap 
jet black, 
vanilla ice, hiphouse miamihiphop 
august alsina, dancepop popr&b poprap r&b trap urbancontemporary 
tom macdonald, bcundergroundhiphop countryrap 
dj khaled, dancepop hiphop miamihiphop pop poprap rap southernhiphop trap 
jeremih, chicagorap dancepop hiphop pop poprap r&b southernhiphop trap urbancontemporary 
natasha leggero, comedienne comedy deepcomedy newcomedy 
joell ortiz, alternativehiphop battlerap boombap hardcorehiphop 
nelly, dancepop hiphop poprap rap southernhiphop stlouisrap urbancontemporary 
gaming music, 
sly & the family stone, classicrock classicsoul disco folkrock funk funkrock mellowgold motown psychedelicsoul rock soul 
beyoncé, dancepop pop popdance post-teenpop r&b 
trevor daniel, alternativer&b emorap melodicrap poprap 
hopsin, conscioushiphop hiphop poprap rap 
diddy, dancepop eastcoasthiphop hiphop hippop poprap r&b rap 
lofi sleep chill & study, 
jorge quintero, 
lofi sleep chill & study, 
dirty heads, reggaefusion reggaerock 
eminem, detroithiphop hiphop rap 
justin bieber, canadianpop pop post-teenpop 
mf doom, alternativehiphop eastcoasthiphop hiphop 
machine gun kelly, ohiohiphop poprap 
afroman, comedyrap gangsterrap hiphop rap 
lil darkie, memerap viralrap 
21 savage, atlhiphop rap trap 
42 dugg, detroittrap rap southernhiphop trap 
sir, alternativer&b hiphop indier&b indiesoul lapop rap undergroundhiphop 
g herbo, chicagodrill chicagorap drill rap southernhiphop trap vaportrap 
nirvana, alternativerock grunge permanentwave rock 
justin bieber, canadianpop pop post-teenpop 
nipsey hussle, conscioushiphop gangsterrap hiphop poprap rap southernhiphop trap 
dj khaled, dancepop hiphop miamihiphop pop poprap rap southernhiphop trap 
the sugarhill gang, eastcoasthiphop electro funk hiphop hiphouse newjerseyrap oldschoolhiphop rap 
chance the rapper, chicagorap conscioushiphop hiphop poprap rap 
alok, electrohouse popnacional slaphouse 
snakehips, dancepop edm electropop indiepoptimism pop popdance tropicalhouse 
b free, 
chance the rapper, chicagorap conscioushiphop hiphop poprap rap 
chance the rapper, chicagorap conscioushiphop hiphop poprap rap 
blondie, candypop dancerock newwave newwavepop permanentwave powerpop rock 
donnie trumpet & the social experiment, popsoul 
koffee, dancehall modernreggae 
rich brian, indonesianhiphop 
sza, pop poprap 
underoath, christianmetal christianmetalcore melodicmetalcore metalcore poppunk post-hardcore screamo tampaindie 
lil dicky, comedyrap poprap rap 
d12, detroithiphop gangsterrap hardcorehiphop hiphop poprap rap raprock 
reik, latin latinarenapop latinpop mexicanpop 
freddie gibbs, alternativehiphop hiphop indianahiphop rap southernhiphop trap undergroundhiphop 
lleurry, 
justin bieber, canadianpop pop post-teenpop 
the notorious b.i.g., eastcoasthiphop gangsterrap hardcorehiphop hiphop rap 
justin bieber, canadianpop pop post-teenpop 
nadia ali, edm vocaltrance 
chance the rapper, chicagorap conscioushiphop hiphop poprap rap 
declan mckenna, indiepop modernalternativerock modernrock rock 
ghostemane, darktrap floridarap 
lil dicky, comedyrap poprap rap 
cruel santino, alte nigerianpop ukalternativehiphop 
action bronson, alternativehiphop eastcoasthiphop hiphop nycrap queenshiphop rap undergroundhiphop 
hurt, alternativemetal numetal post-grunge 
tom macdonald, bcundergroundhiphop countryrap 
2pac, gfunk gangsterrap hiphop rap westcoastrap 
kehlani, dancepop pop poprap post-teenpop r&b urbancontemporary 
a tribe called quest, alternativehiphop conscioushiphop eastcoasthiphop gangsterrap hardcorehiphop hiphop jazzrap queenshiphop rap 
cordae, dmvrap hiphop poprap rap trap undergroundhiphop vaportrap 
jt music, antiviralpop comic otacore 
uncle murda, battlerap nycrap rap trap 
mick jenkins, chicagorap conscioushiphop drill escaperoom hiphop rap undergroundhiphop 
queen, classicrock glamrock rock 
chattanooga trio, backgroundjazz 
queen, classicrock glamrock rock 
outkast, atlhiphop dirtysouthrap hiphop rap southernhiphop 
a tribe called quest, alternativehiphop conscioushiphop eastcoasthiphop gangsterrap hardcorehiphop hiphop jazzrap queenshiphop rap 
guustavv, lo-fibeats 
codename chinadoll, 
sleepy dogs, petcalming 
lofi waiter, 
sleepy dogs, petcalming 
kid kio, 
sleepy dogs, petcalming 
codename chinadoll, 
sleepy dogs, petcalming 
sweet medicine, 
sleepy dogs, petcalming 
jackkeline, 
sleepy dogs, petcalming 
the jazzister, lo-fibeats 
sleepy dogs, petcalming 
lets talk about it, 
sleepy dogs, petcalming 
dmitri shostakovich, classical compositionalambient russianmodernclassical 
sleepy dogs, petcalming 
jazzinuf, chillhop focusbeats lo-fibeats 
sleepy dogs, petcalming 
dmitri shostakovich, classical compositionalambient russianmodernclassical 
sleepy dogs, petcalming 
lofi lemur, 
crahms, 
helge lien trio, contemporaryjazz darkjazz ecm-stylejazz italianjazz jazztrio modernjazztrio norwegianjazz 
sleepy dogs, petcalming 
study jazz, dinnerjazz 
crate diggers, 
jazzinuf, chillhop focusbeats lo-fibeats 
beosound, 
jorja smith, alternativer&b dancepop pop ukcontemporaryr&b 
harlem jazz guitar quartet, dinnerjazz 
instrumental music cafe, dinnerjazz 
max i million, 
moose dawa, chillhop lo-fibeats 
emapea, chillhop jazzboombap 
living room, chillout 
reading background music playlist, dinnerjazz 
norah jones, adultstandards contemporaryvocaljazz jazzpop neomellow vocaljazz 
norah jones, adultstandards contemporaryvocaljazz jazzpop neomellow vocaljazz 
xanakin skywok, darktrap memerap 
jazz morning playlist, dinnerjazz 
jazz cartier, canadianhiphop indiepoprap torontorap trapsoul undergroundhiphop 
